permissions,admin,verified,active,reported,suspended
open-dashboard,TRUE,TRUE,TRUE,TRUE,TRUE
open-profile,TRUE,TRUE,TRUE,TRUE,TRUE
edit-profile,TRUE,TRUE,TRUE,TRUE,FALSE
edit-setting-preference,TRUE,TRUE,TRUE,TRUE,FALSE
edit-setting,TRUE,TRUE,TRUE,TRUE,FALSE
open-project,TRUE,TRUE,TRUE,TRUE,TRUE
open-project-detail,TRUE,TRUE,TRUE,TRUE,TRUE
edit-project-detail,TRUE,TRUE,TRUE,TRUE,FALSE
edit-evaluation-detail,TRUE,TRUE,TRUE,TRUE,FALSE
approve-volunteer,TRUE,TRUE,TRUE,TRUE,FALSE
upload-supporting-document,TRUE,TRUE,FALSE,FALSE,FALSE
update-in-active-project,TRUE,FALSE,FALSE,FALSE,FALSE
withdrawal-donation,TRUE,TRUE,FALSE,FALSE,FALSE
delete-project,TRUE,FALSE,FALSE,FALSE,FALSE
create-project,TRUE,TRUE,TRUE,FALSE,FALSE
send-private-chat,TRUE,TRUE,FALSE,FALSE,FALSE
send-group-chat,TRUE,TRUE,FALSE,FALSE,FALSE
open-private-chat,TRUE,TRUE,TRUE,TRUE,TRUE
open-group-chat,TRUE,TRUE,TRUE,TRUE,TRUE
leave-group-chat,TRUE,TRUE,TRUE,FALSE,FALSE
report-user-chat,TRUE,TRUE,TRUE,TRUE,FALSE
mute-private-notification,TRUE,TRUE,TRUE,TRUE,FALSE
mute-group-notification,TRUE,TRUE,TRUE,TRUE,FALSE
open-project-main-detail,TRUE,TRUE,TRUE,TRUE,FALSE
download-project-main-document,TRUE,TRUE,TRUE,TRUE,FALSE
open-calendar,TRUE,TRUE,TRUE,TRUE,TRUE
send-donation,TRUE,TRUE,TRUE,FALSE,FALSE
join-volunteer,TRUE,TRUE,TRUE,FALSE,FALSE
open-management-project,TRUE,FALSE,FALSE,FALSE,FALSE
open-management-account,TRUE,FALSE,FALSE,FALSE,FALSE
store-evaluation-project,TRUE,FALSE,FALSE,FALSE,FALSE
update-review-project,TRUE,FALSE,FALSE,FALSE,FALSE
approve-evaluation,TRUE,FALSE,FALSE,FALSE,FALSE
reject-evaluation,TRUE,FALSE,FALSE,FALSE,FALSE
delete-evaluation,TRUE,FALSE,FALSE,FALSE,FALSE
approve-evaluation-status,TRUE,FALSE,FALSE,FALSE,FALSE
open-modal-withdrawal,TRUE,FALSE,FALSE,FALSE,FALSE
update-withdrawal-status,TRUE,FALSE,FALSE,FALSE,FALSE
upload-transaction-proof,TRUE,FALSE,FALSE,FALSE,FALSE
open-user-detail,TRUE,FALSE,FALSE,FALSE,FALSE
open-suspend-modal,TRUE,FALSE,FALSE,FALSE,FALSE
suspend-user,TRUE,FALSE,FALSE,FALSE,FALSE
delete-account-user,TRUE,FALSE,FALSE,FALSE,FALSE
